Artist,Track,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Stream,Has_youtube,Artist_LOO_stream,Likes_rate,Comments_rate,Mood_quadrant,Party_index,Key_factor,Licensed_video_combo
Ana Gabriel,Quién Como Tú,album,0.687,0.408,-13.045,0.0328,0.209,4.51e-5,0.149,0.366,140.482,211000,29211773,143415947,TRUE,51498010,0.0043458163254931495,1.2323798353492614e-4,Sad/Melancholic,0.280296,8,Unlicensed_unofficial
The Script,For the First Time,album,0.396,0.629,-4.78,0.0287,0.0328,0,0.183,0.358,173.794,252853,61574616,258091660,TRUE,284087870.5,0.004799526480197619,2.1723237380806402e-4,Anger/Unpleasant,0.249084,9,Licensed_official
Miranda Lambert,Strange,album,0.723,0.633,-6.982,0.0332,0.0551,1.93e-5,0.0665,0.498,112.022,211227,429824,18009027,TRUE,119278051,0.010827687611673615,0.0010353074746873138,Anger/Unpleasant,0.457659,6,Licensed_official
TLC,Diggin' On You,album,0.719,0.631,-7.411,0.0451,0.0235,0.702,0.0686,0.456,80.127,254560,16834726,28091568,TRUE,51965721,0.0065383303535798565,3.410806923736092e-4,Anger/Unpleasant,0.453689,6,Licensed_official
Silvestre Dangond,Materialista (feat. Nicky Jam),album,0.709,0.933,-3.512,0.0521,0.211,0,0.14,0.934,120.002,191787,24559991,42268316,TRUE,41567645.5,0.003643445960546158,8.705214916406118e-5,Happy/Energetic,0.661497,11,Licensed_official
Lil Tjay,Beat the Odds,single,0.498,0.625,-7.452,0.342,0.054,0,0.175,0.478,84.821,150000,25766673,57624166,TRUE,247095368,0.028225452311984554,0.0012478522159224824,Anger/Unpleasant,0.31125,8,Licensed_official
Riton,Ginger,single,0.791,0.935,-4.118,0.074,0.0701,0.00369,0.0511,0.802,121.999,159010,1109143,30469675,TRUE,53875890.5,0.01316511937595062,3.7506435148578675e-4,Happy/Energetic,0.739585,3,Licensed_official
Genesis,In Too Deep - 2007 Remaster,album,0.67,0.419,-10.266,0.0249,0.503,6.9e-6,0.101,0.304,103.538,302840,12132138,38103223,TRUE,50601118,0.005220267029603521,2.1768628085173445e-4,Sad/Melancholic,0.28073,8,Licensed_official
James Brown,Unchained (The Payback / Untouchable),compilation,0.563,0.917,-4.753,0.158,0.128,8.47e-6,0.404,0.573,92.074,171573,15531224,49646243,TRUE,52144648.5,0.015497619505069272,2.878073228484761e-4,Happy/Energetic,0.5162709999999999,8,Licensed_official
11:11 Music Group,woo x I was never there (sped up),single,0.363,0.707,-9.667,0.0562,0.252,0.00121,0.341,0.408,133.11,178390,71714,7432335,TRUE,17507074,0.029617647879075216,1.3944278662464791e-5,Anger/Unpleasant,0.25664099999999995,0,Licensed_official
Pearl Jam,Elderly Woman Behind the Counter in a Small Town - Remastered,album,0.281,0.493,-9.461,0.0284,0.0519,9.15e-6,0.101,0.167,60.772,196187,6089208,76691205,TRUE,230392759,0.004659062393664332,2.928131211809483e-4,Sad/Melancholic,0.13853300000000002,7,Unlicensed_unofficial
Joel Corry,Hold Me Closer - Joel Corry Remix,single,0.642,0.887,-5.439,0.0416,0.0173,5.75e-5,0.246,0.117,125.994,248595,2547059,8447049,TRUE,51244947,0.017756557661208476,4.95080797107566e-4,Anger/Unpleasant,0.569454,0,Licensed_official
Eden Muñoz,Te Vale Madre,single,0.56,0.583,-4.713,0.0291,0.614,0,0.263,0.823,150.115,151600,3210450,9018795,TRUE,32079256.5,0.020393714276814776,2.9653163886682554e-4,Happy/Energetic,0.32648,9,Licensed_official
Ryan Castro,Monastery,single,0.811,0.5,-6.717,0.0976,0.104,0,0.372,0.789,178.017,189333,311384065,161013823,TRUE,42413095.5,0.0038480132244403708,4.575378640522276e-5,Happy/Energetic,0.4055,5,Unlicensed_official
Ol' Dirty Bastard,Hippa to da Hoppa,album,0.769,0.364,-14.337,0.415,0.158,0.0131,0.404,0.241,96.261,181627,250808,10578059,TRUE,11587851.75,0.01320532040445281,5.741443654109917e-4,Sad/Melancholic,0.279916,7,Licensed_official
Rihanna,Stay,album,0.621,0.31,-10.164,0.0283,0.945,6.12e-5,0.117,0.125,111.893,240707,1063298927,933966110,TRUE,1036635597,0.004405137521595562,1.5820950790821215e-4,Sad/Melancholic,0.19251,9,Licensed_official
Ellie Goulding,Hate Me,album,0.64,0.789,-4.891,0.0644,0.0875,0,0.147,0.762,75.018,188067,135154714,612963429,TRUE,397756548,0.019642614907238825,5.379390614521962e-4,Happy/Energetic,0.5049600000000001,8,Licensed_official
Shouse,Love Tonight (Edit),single,0.727,0.681,-7.114,0.0265,0.00214,3.07e-4,0.0861,0.448,123.028,241970,8318071,371628569,TRUE,83220667,0.009558464058005403,1.0230737390916716e-4,Anger/Unpleasant,0.495087,5,Licensed_official
Estopa,Como Camarón,album,0.499,0.721,-9.615,0.0564,0.216,9.74e-6,0.295,0.843,140.4,202027,39784123,95053016,TRUE,40002969,0.0033308764906040535,8.608961921819919e-5,Happy/Energetic,0.35977899999999996,9,Licensed_official
Pearl Jam,Yellow Ledbetter,single,0.504,0.354,-11.3,0.0339,0.29,4.71e-6,0.157,0.292,140.87,303587,4060291,202625727,TRUE,230392759,0.011300421570769189,2.4062314745420957e-4,Sad/Melancholic,0.178416,4,Licensed_official
Gym Class Heroes,Stereo Hearts (feat. Adam Levine),album,0.646,0.795,-3.293,0.0976,0.0319,0,0.267,0.796,89.99,210960,686636687,968714963,TRUE,21018604,0.010419055863818125,3.122014947039962e-4,Happy/Energetic,0.5135700000000001,9,Licensed_official
Trey Songz,Na Na,album,0.67,0.476,-6.253,0.0406,0.328,0,0.104,0.235,96.975,231907,305771662,258661357,TRUE,114858969,0.0066249664430970065,1.0617726897138035e-4,Sad/Melancholic,0.31892,9,Licensed_official
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,album,0.664,0.714,-6.645,0.111,0.0353,8.42e-6,0.0843,0.71,101.969,197933,1563356710,1649785651,TRUE,47187275.5,0.005120796136155004,1.4746730450275805e-4,Happy/Energetic,0.474096,7,Licensed_official
Dan + Shay,Speechless,album,0.616,0.438,-5.968,0.0298,0.356,0,0.24,0.386,135.929,213387,126913901,441542077,TRUE,167577131,0.005057830505107553,7.245857173675561e-5,Sad/Melancholic,0.269808,1,Licensed_official
Dolly Parton,"Cuddle Up, Cozy Down Christmas",album,0.658,0.515,-7.283,0.0368,0.678,0,0.154,0.652,110.089,219169,600968,41519002,TRUE,94358229,0.014463332490249064,5.441221495986476e-4,Happy/Energetic,0.33887,1,Unlicensed_official
Carly Simon,Nobody Does It Better,compilation,0.368,0.403,-12.699,0.0288,0.703,7.66e-6,0.202,0.338,135.384,212667,16205216,53343802,TRUE,8527127,0.005370925015748016,4.5411304607109217e-4,Sad/Melancholic,0.14830400000000002,10,Unlicensed_official
Sleeping At Last,Light,album,0.224,0.387,-9.022,0.0287,0.532,0.00548,0.0689,0.0395,104.566,262533,2954969,39211900,TRUE,136832087,0.012123646644008787,2.067703586738135e-4,Sad/Melancholic,0.086688,0,Licensed_official
Jack Harlow,Churchill Downs (feat. Drake),album,0.71,0.522,-9.102,0.36,0.615,0,0.11,0.37,96.448,309327,33706031,96287041,TRUE,393278253,0.014511379284021901,5.339400536360985e-4,Anger/Unpleasant,0.37062,11,Licensed_official
Jimi Hendrix,All Along the Watchtower,album,0.438,0.805,-6.237,0.0624,0.00255,5.69e-5,0.0842,0.564,113.253,240800,51665,583331585,TRUE,86969936,0.019723216877963804,0.001432304267879609,Happy/Energetic,0.35259,8,Unlicensed_unofficial
Juice WRLD,In My Head,single,0.633,0.548,-5.634,0.0467,0.269,0,0.16,0.35,160.011,192000,15607322,59518794,TRUE,769942321.5,0.024143988315227943,0.0010795574026088524,Anger/Unpleasant,0.346884,5,Licensed_official
Manuel Carrasco,Y Ahora,album,0.469,0.496,-7.072,0.0299,0.122,0,0.15,0.302,134.275,255547,22941784,21593063,TRUE,32134325,0.004434921015732691,1.365630501969681e-4,Sad/Melancholic,0.232624,0,Licensed_official
LE SSERAFIM,Blue Flame,single,0.781,0.725,-3.571,0.0452,0.0281,0,0.0761,0.765,112.045,201895,8267390,48566716,TRUE,27378278,0.026322938678349516,6.869157013277467e-4,Happy/Energetic,0.566225,4,Licensed_official
Akon,Bananza (Belly Dancer),album,0.875,0.69,-5.905,0.13,0.0362,3.81e-6,0.729,0.668,104.844,238493,51305314,103058849,TRUE,307098559.5,0.01454286002420724,2.740651777318817e-4,Happy/Energetic,0.60375,10,Licensed_official
Robin Thicke,Wanna Love You Girl - Main,album,0.902,0.358,-9.032,0.15,0.0285,0.00992,0.0917,0.773,116.025,263280,16910440,13407291,TRUE,10314013,0.00470916191417846,2.236488228573591e-4,Calm/Relaxing,0.322916,9,Licensed_official
Mandy Moore,Cry,album,0.587,0.68,-6.044,0.0308,0.0419,1.87e-6,0.384,0.522,86.736,223333,2427622,47060191,TRUE,57263609.5,0.01295465274247803,7.497048552039815e-4,Happy/Energetic,0.39916,0,Unlicensed_unofficial
Poison,Talk Dirty To Me,album,0.491,0.957,-3.67,0.096,0.00853,8.79e-4,0.371,0.635,158.067,223733,42972317,97094365,TRUE,34635437.5,0.005419931161729073,1.964985969921054e-4,Happy/Energetic,0.469887,11,Licensed_official
Djavan,Se... (Ao Vivo),album,0.586,0.591,-8.332,0.0299,0.698,0,0.959,0.565,95.603,287267,31910079,11790296,TRUE,33382883,0.006115747942836494,1.3143182754263942e-4,Happy/Energetic,0.34632599999999997,9,Licensed_official
Ñejo,Mi Estilo de Vida II,single,0.688,0.821,-4.638,0.129,0.226,0,0.376,0.694,152.065,488512,44432709,27724011,TRUE,48554551,0.009619444990401103,3.083539200817128e-4,Happy/Energetic,0.5648479999999999,7,Licensed_official
J Alvarez,Yo Me Monto,single,0.754,0.955,-3.773,0.104,0.0519,7.32e-4,0.0691,0.752,125.052,172314,209631,1834779,TRUE,17945558,0.01616173180493343,0.045718429049138726,Happy/Energetic,0.72007,9,Unlicensed_official
Lauv,Mean It,album,0.747,0.45,-8.543,0.0919,0.0407,0,0.17,0.329,96.001,232853,76707589,290146116,TRUE,265351603,0.00987040539104938,1.5590373985030346e-4,Sad/Melancholic,0.33615,7,Licensed_official
Tracy Chapman,For My Lover,album,0.557,0.426,-13.813,0.0532,0.14,6.85e-6,0.145,0.354,162.713,192440,68892,21337362,TRUE,143020474,0.010422109969227196,5.080415723160889e-4,Sad/Melancholic,0.23728200000000002,4,Unlicensed_unofficial
Smash Mouth,"Come On, Come On",album,0.424,0.843,-5.352,0.0765,0.0401,0,0.0971,0.962,203.572,151827,556069,6102890,TRUE,18177797,0.00532847542301405,5.808631662617409e-4,Happy/Energetic,0.35743199999999997,11,Unlicensed_unofficial
Marca MP,Tu,single,0.518,0.409,-8.781,0.0492,0.444,0,0.194,0.764,72.338,153548,8869194,28161758,TRUE,68150032,0.009100150475905702,4.025168465138997e-5,Calm/Relaxing,0.211862,9,Unlicensed_official
Theory of a Deadman,Bad Girlfriend,album,0.504,0.957,-2.657,0.0529,0.00298,0,0.187,0.676,135.013,205627,56505841,170137910,TRUE,62126597.5,0.006177078224532576,9.735276747761351e-5,Happy/Energetic,0.482328,0,Licensed_official
Brenda Lee,Emotions,album,0.466,0.416,-8.249,0.026,0.742,5.04e-6,0.249,0.516,98.78,171227,1121558,17735481,TRUE,14842588,0.025245239211882042,3.869617086231831e-4,Calm/Relaxing,0.193856,5,Unlicensed_unofficial
Bring Me The Horizon,maybe (feat. Bring Me The Horizon),album,0.601,0.92,-4.802,0.0505,7.35e-4,0,0.0998,0.537,88.014,170134,20170789,90825980,TRUE,164494520,0.014591546220626273,5.083093179944523e-4,Happy/Energetic,0.55292,5,Licensed_official
Ivan Cornejo,Ya Te Perdí - Deluxe,album,0.55,0.352,-9.236,0.0272,0.469,7.48e-5,0.119,0.169,123.794,264300,1577779,7992931,TRUE,55982605,0.02632307820043238,3.5302789554177106e-4,Sad/Melancholic,0.1936,8,Licensed_official
Bad Bunny,Neverita,album,0.876,0.498,-7.511,0.0478,0.0706,0,0.143,0.428,122.016,173119,182640332,500151882,TRUE,842069974.5,0.012245164994553338,4.577575997836009e-4,Sad/Melancholic,0.436248,10,Licensed_official
Jul,La Bellavita (feat. Jul),album,0.76,0.699,-5.048,0.0466,0.025,3.74e-6,0.149,0.512,139.927,194571,12556242,21844490,TRUE,32964092.5,0.0066958728574998795,1.1603790369761908e-4,Happy/Energetic,0.5312399999999999,9,Unlicensed_unofficial
The Fray,"How to Save a Life - Live in Nashville, TN - December 2006",single,0.328,0.502,-5.914,0.0329,0.767,0,0.759,0.248,123.745,269947,32466,25187404,TRUE,167702794,0.032125916343251404,6.160290765724142e-5,Anger/Unpleasant,0.164656,10,Licensed_official
Los Tucanes De Tijuana,Me Gusta Vivir De Noche,album,0.898,0.594,-6.003,0.0479,0.335,8.22e-4,0.254,0.953,119.709,215680,2585956,61665604,TRUE,83666772,0.007683812098891087,1.1330432536361794e-4,Happy/Energetic,0.533412,5,Unlicensed_unofficial
Timmy Trumpet,Call Me (with R3HAB & Timmy Trumpet),single,0.398,0.956,-4.429,0.329,0.00935,0.0038,0.142,0.269,106.581,178310,2756040,48546790,TRUE,44627865.5,0.011987126456800336,1.2409108721208692e-4,Anger/Unpleasant,0.380488,2,Licensed_official
George Harrison,I'd Have You Anytime - Remastered 2014,album,0.556,0.345,-11.176,0.0264,0.741,0.0061,0.103,0.245,139.53,177427,814314,24506459,TRUE,42767123,0.011004354585577554,3.684082552921846e-4,Sad/Melancholic,0.19182,7,Licensed_official
Cem Adrian,Bana Unutmayı Anlat,single,0.551,0.724,-8.8,0.0622,0.212,0,0.129,0.427,95.025,192166,3536617,16257692,TRUE,18814856,0.02092225423335351,7.713586175715379e-4,Anger/Unpleasant,0.398924,3,Unlicensed_official
Gabito Ballesteros,El Sereno,single,0.712,0.571,-6.46,0.0498,0.369,3.46e-6,0.147,0.624,97.184,163328,252508,1967317,TRUE,2624779,0.028632756189902894,0.0016910355315475152,Happy/Energetic,0.40655199999999997,6,Unlicensed_unofficial
Stephen Cleobury,"Herz und Mund und Tat und Leben, Cantata BWV 147: Jesu, Joy Of Man's Desiring, BWV 147",compilation,0.143,0.0433,-30.074,0.0469,0.784,0.845,0.109,0.146,66.472,361160,752426,4191785,TRUE,3088275.5,0.014159531967263226,5.76800907996268e-4,Sad/Melancholic,0.006191899999999999,7,Unlicensed_official
Pink Floyd,Us and Them,album,0.357,0.302,-14.526,0.0303,0.862,0.559,0.634,0.135,72.518,469224,147200,14046129.5,TRUE,38103223,0.019796195652173915,0.0013383152173913043,Sad/Melancholic,0.107814,2,Unlicensed_unofficial
Simple Plan,What's New Scooby-Doo?,single,0.486,0.946,-5.509,0.0807,8.94e-5,1e-4,0.11,0.509,158.158,68696,929312,15589234,TRUE,77430092,0.03707473916187459,9.286439860886333e-4,Happy/Energetic,0.45975599999999994,1,Licensed_official
Madison Beer,Reckless,single,0.386,0.426,-6.642,0.0363,0.807,0,0.14,0.261,180.104,203385,54435808,292129276,TRUE,185395831,0.022098909600092646,5.161492229526565e-4,Sad/Melancholic,0.164436,3,Licensed_official
Lil Baby,Pure Cocaine,album,0.964,0.487,-6.071,0.421,0.00127,6.57e-6,0.115,0.107,127.05,154024,59433598,374898813,TRUE,381995040,0.009313031999173263,1.866957474120951e-4,Sad/Melancholic,0.469468,10,Licensed_official
Shashaa Tirupati,Kajra / Uden Jab Jab Mashup,single,0.538,0.463,-6.091,0.165,0.744,0,0.0261,0.956,86.924,125330,7077881,8096832,TRUE,26329147,0.0160457628490787,1.6106515495244975e-4,Calm/Relaxing,0.24909400000000004,7,Licensed_official
MIKA,Lollipop,album,0.711,0.594,-5.335,0.0658,0.0326,9.15e-6,0.114,0.857,96.001,183533,69547157,85719399,TRUE,62368060,0.0069517866848245145,3.692602416515746e-4,Happy/Energetic,0.422334,1,Licensed_official
Yuvan Shankar Raja,"Ennai Vittu (From ""Love Today"")",single,0.602,0.388,-12.098,0.0536,0.334,3.7e-5,0.126,0.3,140.006,244669,22284591,21980285,TRUE,20229994,0.015662212512672996,2.1490185752119032e-4,Sad/Melancholic,0.233576,0,Licensed_official
Lady Gaga,Always Remember Us This Way,album,0.553,0.502,-5.972,0.0409,0.299,0,0.764,0.296,129.976,210200,428487364,903516947,TRUE,533955610.5,0.00567053127849063,1.1358094564487554e-4,Anger/Unpleasant,0.277606,0,Licensed_official
Nightwish,Élan,album,0.576,0.588,-9.553,0.0308,0.0124,1.77e-4,0.148,0.316,127.969,287000,84464501,36358374,TRUE,42363265,0.004611381058179696,2.7377181805644004e-4,Anger/Unpleasant,0.33868799999999993,5,Licensed_official
King,OOPS,album,0.918,0.673,-5.084,0.184,0.314,0,0.0555,0.828,99.952,163200,45074766,39538638,TRUE,17844370,0.02335215672556126,0.0014802739075783554,Happy/Energetic,0.6178140000000001,0,Licensed_official
Neha Kakkar,"Gali Gali (From ""Kgf Chapter 1"")",single,0.789,0.95,-3.604,0.0759,0.191,1.41e-5,0.0969,0.746,126.013,174711,472320564,37324477,TRUE,59255296,0.0046617364726893405,7.007105453913711e-5,Happy/Energetic,0.74955,5,Licensed_official
Jaden,I'm Ready,album,0.748,0.696,-8.927,0.165,0.155,0.00259,0.139,0.414,129.992,189750,11539910,53278311,TRUE,92420782,0.038846316825694484,9.805969024021851e-4,Anger/Unpleasant,0.520608,6,Licensed_official
Vacations,Honey,album,0.276,0.846,-7.561,0.0725,2.44e-4,0.311,0.197,0.668,157.458,139605,183185,16378429,TRUE,25613544,0.01961951033108606,3.9304528209187434e-4,Happy/Energetic,0.233496,1,Unlicensed_unofficial
Los Tigres Del Norte,Prisión De Amor,album,0.745,0.639,-6.809,0.0248,0.0784,7.99e-6,0.261,0.797,100.412,188160,512160,46391291,TRUE,102194952,0.009569275226491722,4.2760074976569824e-4,Happy/Energetic,0.476055,8,Unlicensed_unofficial
Sidhu Moose Wala,Outlaw,single,0.727,0.672,-4.782,0.0426,0.181,0,0.189,0.135,94.006,179375,52784356,33681529,TRUE,58353648.5,0.01657140611888871,3.1274417746045817e-4,Anger/Unpleasant,0.48854400000000003,1,Licensed_official
Frank Ocean,Novacane,single,0.762,0.508,-9.112,0.0919,0.0584,0.00126,0.16,0.37,93.51,302347,227762,15281378.5,TRUE,572546463,0.017004592513237504,6.058956278922735e-4,Anger/Unpleasant,0.387096,3,Unlicensed_unofficial
Los Caminantes,Entre Más Lejos Me Vaya,album,0.703,0.551,-6.592,0.0359,0.603,0,0.109,0.693,93.478,170520,53428,31416730,TRUE,19462542,0.011604402186119637,5.240697761473385e-4,Happy/Energetic,0.387353,9,Unlicensed_unofficial
fun.,Why Am I the One,album,0.408,0.499,-7.16,0.0547,0.44,4.04e-6,0.595,0.501,82.157,286707,26223554,34412460,TRUE,27697921,0.0055739203008104855,2.672787982895072e-4,Calm/Relaxing,0.203592,6,Licensed_official
M. M. Keeravani,Nunugu Misalodu,album,0.647,0.478,-11.138,0.137,0.346,4.66e-5,0.081,0.937,150.907,302942,1481487,5979351,TRUE,4752893,0.01060421049931589,1.0259961781642363e-4,Calm/Relaxing,0.309266,8,Licensed_official
Los Gemelos De Sinaloa,No Le Aflojo,single,0.698,0.687,-4.115,0.0501,0.195,0,0.0829,0.773,116.765,202876,77367050,84465009,TRUE,10001631,0.005003693432798588,3.2326423199540375e-5,Happy/Energetic,0.479526,5,Licensed_official
bbno$,bag or die,album,0.809,0.663,-6.589,0.239,0.207,3.73e-4,0.121,0.283,106.025,118120,334896,3334346,TRUE,119423321,0.06997694806745974,0.0034488318761645405,Anger/Unpleasant,0.536367,9,Licensed_official
Ace of Base,Lucky Love,album,0.769,0.662,-7.238,0.0319,0.129,0.00102,0.0814,0.863,104.104,175747,8790417,5505208,TRUE,29584342,0.0035386262107929578,1.228610656354528e-4,Happy/Energetic,0.509078,5,Licensed_official
Leona Lewis,Bleeding Love,album,0.638,0.656,-5.886,0.0357,0.188,0,0.146,0.225,104.036,262467,201600452,701115109,TRUE,72122432,0.0032055930112696376,8.926071257022777e-5,Anger/Unpleasant,0.418528,5,Licensed_official
Redman,Tonight's Da Night,album,0.697,0.687,-11.111,0.379,0.26,4.8e-5,0.403,0.866,90.247,201373,3359733,59340982,TRUE,13750019,0.016590604074788087,6.080840352492296e-4,Happy/Energetic,0.478839,6,Unlicensed_unofficial
Harry Styles,Satellite,album,0.576,0.457,-6.473,0.0304,0.143,3.05e-5,0.0917,0.301,138.984,218577,57689,194692471,TRUE,913684872,0.013988802024649413,4.680268335384562e-4,Sad/Melancholic,0.26323199999999997,0,Unlicensed_unofficial
Selena,Fotos Y Recuerdos,album,0.515,0.522,-12.098,0.0333,0.651,0,0.0509,0.926,179.692,157307,23945315,48175366,TRUE,130963672,0.0033110025906946724,1.644998196933304e-4,Happy/Energetic,0.26883,3,Unlicensed_unofficial
Mc Don Juan,EU VOU COM CARINHO ELA QUER COM FORÇA,single,0.82,0.28,-11.742,0.0485,0.353,1.69e-5,0.116,0.209,129.854,144000,30035967,97771627,TRUE,38103223,0.009473076062442071,5.167138451044376e-5,Sad/Melancholic,0.2296,5,Licensed_official
Outkast,Player's Ball,album,0.857,0.764,-6.304,0.246,0.0398,0,0.425,0.578,93.071,261267,9750595,41610291,TRUE,154669456,0.010814006734973609,3.2233930339635686e-4,Happy/Energetic,0.654748,1,Licensed_official
Enrique Iglesias,DUELE EL CORAZON (feat. Wisin),album,0.72,0.909,-3.258,0.0952,0.0904,0,0.137,0.877,91.022,199693,1089805731,585840731,TRUE,289113339.5,0.0037573843516519366,1.0069501093493515e-4,Happy/Energetic,0.65448,8,Licensed_official
Skepta,Warm - Remix,single,0.87,0.65,-7.706,0.385,0.418,0,0.118,0.726,142.975,187972,3687267,6217206,TRUE,101173887,0.01745195018424215,5.575945544491354e-4,Happy/Energetic,0.5655,2,Unlicensed_official
Major Lazer,ALREADY,album,0.647,0.732,-5.846,0.0891,0.0846,0,0.597,0.548,67.295,222529,59501982,117635919,TRUE,333470169.5,0.02396597478047034,0.0011618772631809139,Happy/Energetic,0.473604,2,Licensed_official
Intocable,Soñador Eterno,album,0.582,0.509,-10.193,0.0489,0.134,0,0.082,0.937,142.965,177200,6107940,71217509,TRUE,35766626,0.004442414300074984,3.274426402354968e-5,Happy/Energetic,0.296238,11,Licensed_official
João Gomes,Se For Amor,album,0.667,0.899,-4.402,0.0322,0.423,1.84e-5,0.332,0.835,147.962,239928,268455102,137542151,TRUE,31203234,0.007379844842732771,8.250169147465113e-5,Happy/Energetic,0.5996330000000001,11,Unlicensed_unofficial
Paolo Nutini,Jenny Don't Be Hasty,album,0.764,0.816,-5.551,0.0338,0.00362,0,0.136,0.894,120.456,207133,4810978,72590830,TRUE,34458441,0.003624003269189757,7.75310134446676e-5,Happy/Energetic,0.623424,9,Licensed_official
Mijares,Para Amarnos Más,album,0.536,0.665,-7.743,0.0367,0.641,6.08e-4,0.113,0.243,140.256,206707,57839934,138711251,TRUE,43857116,0.0029403387631804696,9.158032580051008e-5,Anger/Unpleasant,0.35644000000000003,3,Licensed_official
Die drei ???,Teil 23 - Das Geheimnis der Geisterinsel,album,0.518,0.93,-6.246,0.858,0.404,0,0.884,0.241,63.653,180008,21912,14046129.5,TRUE,14046129.5,0.011683096020445418,2.2818546914932458e-4,Anger/Unpleasant,0.48174000000000006,1,Unlicensed_unofficial
Hailee Steinfeld,Wrong Direction,single,0.39,0.388,-9.017,0.0355,0.472,0,0.157,0.187,72.934,248987,11000727,137733705,TRUE,429041663,0.033930212066893395,0.0010195689793956345,Sad/Melancholic,0.15132,10,Licensed_official
Lauren Daigle,Rescue,album,0.293,0.237,-8.17,0.0284,0.78,0,0.11,0.108,92.935,215613,51109735,131542361,TRUE,55339504,0.011669655497137678,4.3175727676928865e-4,Sad/Melancholic,0.06944099999999999,6,Licensed_official
Carly Rae Jepsen,Good Time,album,0.56,0.872,-4.269,0.14,0.0239,6.98e-6,0.371,0.682,126.05,205933,427768493,450283834,TRUE,72724810,0.005668972913346379,3.119374198510688e-4,Happy/Energetic,0.48832000000000003,3,Licensed_official
Carlos Vives,Nota de Amor (feat. Daddy Yankee),album,0.806,0.929,-3.017,0.121,0.263,0,0.0622,0.602,97.99,232373,698259076,186724705,TRUE,141267289,0.002762583497017087,6.180370794063262e-5,Happy/Energetic,0.748774,10,Licensed_official
Ozuna,Diles,single,0.813,0.56,-5.904,0.0618,0.108,0,0.268,0.287,118.033,286041,986389022,628424773,TRUE,491471865,0.003839217504997739,8.289123071769143e-5,Anger/Unpleasant,0.45528,2,Licensed_official
Stereophonics,C'est La Vie,album,0.459,0.925,-2.415,0.0442,0.0471,0,0.133,0.826,148.054,220320,6083912,30209483,TRUE,37296393,0.004592932968129716,1.551633225464142e-4,Happy/Energetic,0.42457500000000004,10,Licensed_official
Alice In Chains,Rooster (2022 Remaster),album,0.271,0.551,-8.46,0.0272,0.0307,5.81e-4,0.118,0.2,143.899,374333,94664906,164654924,TRUE,108584984.5,0.0064068198620510965,3.1608334349373355e-4,Anger/Unpleasant,0.149321,3,Licensed_official
Ja Rule,Put It On Me,album,0.831,0.79,-4.714,0.165,0.0024,0,0.0515,0.791,93.14,262827,2708580,96714872,TRUE,59076254.5,0.014260239682785813,4.891862156554356e-4,Happy/Energetic,0.65649,1,Unlicensed_unofficial
Incubus,Are You In?,album,0.526,0.587,-8.733,0.039,0.24,0.243,0.886,0.364,93.986,264200,24415857,63001759,TRUE,72783310,0.003517918703406561,1.4076917308288625e-4,Anger/Unpleasant,0.308762,2,Licensed_official
Madonna,La Isla Bonita,album,0.724,0.822,-4.374,0.0333,0.304,1.38e-5,0.0553,0.964,99.9,242733,685767514,257732847,TRUE,209852541,0.0043168959444176876,1.188172351949585e-4,Happy/Energetic,0.595128,1,Licensed_official
Mr.Kitty,I Want To Hurt Myself,album,0.666,0.481,-7.276,0.0377,1.19e-4,0.00393,0.107,0.277,132.03,205459,433158,3736298,TRUE,10761447,0.013566527032136252,3.6757677692535705e-4,Sad/Melancholic,0.320346,7,Unlicensed_unofficial
Toni Braxton,You Mean the World to Me,album,0.595,0.735,-6.648,0.047,0.1,9.62e-6,0.104,0.521,167.662,296400,23732207,10247208,TRUE,55773397,0.005883270780505159,1.9779028558110926e-4,Happy/Energetic,0.43732499999999996,11,Licensed_official
Darlene Love,A Marshmallow World,album,0.316,0.78,-6.988,0.0517,0.748,2.18e-5,0.317,0.653,154.636,143133,210072,31042109,TRUE,7014436,0.008249552534369169,3.7606154080505733e-4,Happy/Energetic,0.24648,5,Licensed_official
Carrie Underwood,Church Bells,album,0.575,0.844,-1.772,0.0633,0.226,0,0.0538,0.542,87.007,193333,55422674,132418313,TRUE,79837447,0.0038621196804759007,1.3469216588142245e-4,Happy/Energetic,0.48529999999999995,3,Licensed_official
Toby Fox,Fallen Down,album,0.624,0.66,-12.779,0.0569,0.797,0.786,0.114,0.871,110.021,57818,16854603,92706296,TRUE,27473200,0.025141974569202252,0.0015773732552466528,Happy/Energetic,0.41184000000000004,2,Unlicensed_unofficial
Olivia,It's On Again,album,0.601,0.397,-9.153,0.029,0.157,3.32e-6,0.0679,0.155,133.803,275667,50319,79473,TRUE,555755.5,0.010989884536656135,0.0011725193266956815,Sad/Melancholic,0.238597,9,Unlicensed_unofficial
Frank Sinatra,Have Yourself A Merry Little Christmas - Remastered 1999,album,0.262,0.137,-15.235,0.0344,0.913,6.74e-6,0.267,0.288,92.183,206600,6422826,126469786,TRUE,212972149,0.014761726380256916,5.170621156481586e-4,Sad/Melancholic,0.035894,8,Licensed_official
